customer_id,first_name,last_name,email,country,signup_date
1,Jane,Jones,customer1@example.com,USA,2023-10-19
2,John,Jones,customer2@example.com,Australia,2023-08-14
3,David,Martinez,customer3@example.com,Germany,2022-09-29
4,Sarah,Martinez,customer4@example.com,UK,2023-10-29
5,Sarah,Davis,customer5@example.com,USA,2022-08-04
6,Mike,Williams,customer6@example.com,USA,2023-08-09
7,Jane,Davis,customer7@example.com,USA,2023-03-03
8,James,Rodriguez,customer8@example.com,France,2023-09-25
9,Jane,Davis,customer9@example.com,UK,2023-10-17
10,Lisa,Garcia,customer10@example.com,Germany,2022-02-01
11,Chris,Garcia,customer11@example.com,USA,2023-05-25
12,John,Rodriguez,customer12@example.com,Australia,2023-10-05
13,John,Rodriguez,customer13@example.com,France,2023-07-13
14,Jane,Miller,customer14@example.com,USA,2022-10-24
15,Sarah,Davis,customer15@example.com,USA,2023-10-20
16,Sarah,Garcia,customer16@example.com,USA,2022-11-06
17,James,Brown,customer17@example.com,USA,2023-05-10
18,Lisa,Brown,customer18@example.com,Canada,2022-09-08
19,John,Martinez,customer19@example.com,Canada,2023-12-03
20,James,Miller,customer20@example.com,USA,2023-02-20
21,Sarah,Brown,customer21@example.com,UK,2022-11-01
22,James,Miller,customer22@example.com,USA,2023-04-10
23,Chris,Smith,customer23@example.com,USA,2022-03-16
24,Sarah,Garcia,customer24@example.com,USA,2023-12-07
25,Anna,Davis,customer25@example.com,Canada,2022-03-03
26,Lisa,Miller,customer26@example.com,Germany,2022-06-11
27,David,Miller,customer27@example.com,USA,2023-03-27
28,John,Williams,customer28@example.com,Canada,2023-03-02
29,Mike,Davis,customer29@example.com,UK,2023-05-11
30,Chris,Smith,customer30@example.com,USA,2023-04-21
31,Emily,Williams,customer31@example.com,UK,2022-07-28
32,David,Rodriguez,customer32@example.com,USA,2022-12-15
33,Mike,Martinez,customer33@example.com,USA,2023-09-14
34,Sarah,Garcia,customer34@example.com,India,2022-05-28
35,Emily,Johnson,customer35@example.com,Australia,2022-11-17
36,Jane,Davis,customer36@example.com,France,2022-11-23
37,Jane,Johnson,customer37@example.com,USA,2022-12-20
38,Chris,Rodriguez,customer38@example.com,USA,2023-02-13
39,Jane,Davis,customer39@example.com,UK,2022-05-14
40,Emily,Smith,customer40@example.com,Canada,2023-01-15
41,Emily,Williams,customer41@example.com,USA,2023-06-12
42,Lisa,Miller,customer42@example.com,Canada,2023-07-30
43,David,Williams,customer43@example.com,USA,2022-04-19
44,John,Johnson,customer44@example.com,India,2022-11-23
45,Anna,Davis,customer45@example.com,USA,2022-09-05
46,James,Jones,customer46@example.com,UK,2023-04-23
47,Jane,Garcia,customer47@example.com,USA,2022-05-06
48,Chris,Martinez,customer48@example.com,Canada,2022-10-01
49,Jane,Miller,customer49@example.com,Canada,2023-04-06
50,James,Johnson,customer50@example.com,USA,2022-09-11
51,David,Garcia,customer51@example.com,Australia,2022-05-25
52,Lisa,Rodriguez,customer52@example.com,Germany,2022-04-10
53,Emily,Miller,customer53@example.com,India,2022-02-21
54,Lisa,Garcia,customer54@example.com,France,2022-10-25
55,Sarah,Davis,customer55@example.com,UK,2023-01-29
56,Jane,Rodriguez,customer56@example.com,India,2023-09-23
57,John,Smith,customer57@example.com,USA,2023-03-05
58,Sarah,Martinez,customer58@example.com,USA,2022-09-12
59,David,Johnson,customer59@example.com,USA,2022-06-13
60,Jane,Brown,customer60@example.com,USA,2022-12-02
61,Sarah,Jones,customer61@example.com,USA,2023-08-15
62,Jane,Brown,customer62@example.com,USA,2022-11-17
63,Chris,Johnson,customer63@example.com,France,2022-07-14
64,David,Miller,customer64@example.com,USA,2022-06-13
65,Anna,Johnson,customer65@example.com,USA,2023-05-26
66,Emily,Johnson,customer66@example.com,Canada,2023-06-12
67,Mike,Davis,customer67@example.com,USA,2023-04-24
68,Emily,Williams,customer68@example.com,France,2023-05-26
69,Emily,Jones,customer69@example.com,USA,2022-11-12
70,Sarah,Smith,customer70@example.com,Australia,2023-05-25
71,David,Smith,customer71@example.com,Germany,2022-01-24
72,Jane,Garcia,customer72@example.com,USA,2022-04-03
73,Lisa,Smith,customer73@example.com,USA,2023-02-07
74,Mike,Jones,customer74@example.com,France,2023-06-02
75,James,Garcia,customer75@example.com,Germany,2023-04-14
76,Sarah,Garcia,customer76@example.com,Germany,2022-09-04
77,Mike,Miller,customer77@example.com,Germany,2022-08-09
78,Anna,Williams,customer78@example.com,USA,2023-08-21
79,Chris,Brown,customer79@example.com,USA,2022-12-28
80,David,Rodriguez,customer80@example.com,USA,2022-02-19
81,James,Miller,customer81@example.com,France,2022-02-21
82,Sarah,Martinez,customer82@example.com,UK,2022-10-16
83,Emily,Williams,customer83@example.com,USA,2023-05-22
84,John,Williams,customer84@example.com,USA,2023-09-04
85,Sarah,Williams,customer85@example.com,USA,2023-11-01
86,John,Johnson,customer86@example.com,USA,2023-11-20
87,Emily,Martinez,customer87@example.com,Germany,2023-04-27
88,Chris,Miller,customer88@example.com,UK,2022-10-20
89,David,Martinez,customer89@example.com,France,2023-07-04
90,Jane,Brown,customer90@example.com,Canada,2022-01-09
91,Sarah,Davis,customer91@example.com,USA,2022-04-21
92,Lisa,Martinez,customer92@example.com,Germany,2023-03-18
93,Emily,Williams,customer93@example.com,Germany,2022-05-18
94,Sarah,Brown,customer94@example.com,UK,2022-09-28
95,Anna,Davis,customer95@example.com,Germany,2023-01-10
96,Chris,Jones,customer96@example.com,Canada,2023-02-17
97,Anna,Davis,customer97@example.com,Canada,2023-01-10
98,Mike,Jones,customer98@example.com,Canada,2022-02-16
99,David,Smith,customer99@example.com,USA,2023-02-15
100,Mike,Davis,customer100@example.com,USA,2022-02-22
101,Sarah,Jones,customer101@example.com,USA,2023-08-07
102,James,Rodriguez,customer102@example.com,UK,2023-07-30
103,James,Williams,customer103@example.com,USA,2022-07-19
104,David,Johnson,customer104@example.com,Canada,2023-01-07
105,Lisa,Davis,customer105@example.com,India,2023-07-21
106,Chris,Garcia,customer106@example.com,USA,2022-10-23
107,Lisa,Martinez,customer107@example.com,Canada,2022-03-17
108,Chris,Jones,customer108@example.com,Germany,2023-01-31
109,Emily,Miller,customer109@example.com,USA,2023-06-01
110,Sarah,Jones,customer110@example.com,USA,2023-04-07
111,Mike,Davis,customer111@example.com,USA,2023-07-18
112,James,Jones,customer112@example.com,USA,2022-10-14
113,Anna,Brown,customer113@example.com,India,2023-10-01
